label,rmse,rmse_clim,skill,corr,bias,n
Ridge+GBR | core6 | clim=40%,13.522313548829924,11.484905413049841,-0.17739877365163648,0.8206545805498089,0.047403538202893,222
Ridge+BayesRidge | core8 | clim=50%,13.541329080957548,11.484905413049841,-0.1790544714082778,0.8421489468082302,-0.03172378612139681,222
Ridge+GBR | core4 | clim=50%,13.569013024526193,11.484905413049841,-0.18146493475760472,0.8111924785799866,0.1984501856747123,222
ElasticNet | all | clim=30%,13.574856866479491,11.484905413049841,-0.18197376280129585,0.7675250318726572,-0.18379129515294323,222
Ridge+KNN | all | clim=40%,13.575085059802708,11.484905413049841,-0.1819936317784454,0.814856455815969,-2.2267555144240596,222
ensemble | all | clim=25%,13.576472860825831,11.484905413049841,-0.18211446873558268,0.8143876930546012,-0.9698411798881139,222
BayesRidge | all | clim=30%,13.584952841309649,11.484905413049841,-0.1828528274924761,0.7752553647844761,-0.08281560752512007,222
Ridge+GBR | core8 | clim=35%,13.58574896382906,11.484905413049841,-0.18292214652391592,0.8266188215610284,0.09412049693109026,222
Ridge+RF+GBR+XGB | core8 | clim=30%,13.608324254934828,11.484905413049841,-0.18488779537289268,0.813808092732292,0.13050129517441178,222
Ridge(alpha=100) | core8 | clim=50%,13.616173730470681,11.484905413049841,-0.18557125555419596,0.845959655008004,-0.01934485967020194,222
Ridge+RF | core8 | clim=40%,13.618846604130898,11.484905413049841,-0.18580398482484184,0.8515991815110411,0.07839359652214029,222
Ridge+KNN | core8 | clim=50%,13.633660621988348,11.484905413049841,-0.18709385333700368,0.8332410347678044,-0.9201691512912582,222
ensemble | core4 | clim=50%,13.642137271388956,11.484905413049841,-0.18783192205378874,0.8201931718858568,-0.15025076189672504,222
Ridge+BayesRidge | all | clim=30%,13.646583958389984,11.484905413049841,-0.18821909868616893,0.7768097142120387,-0.06493840275681606,222
Ridge(alpha=200) | all | clim=35%,13.719681793782069,11.484905413049841,-0.194583786314247,0.794646225471471,-0.017389310645498313,222
Ridge(alpha=100) | all | clim=30%,13.743983646117671,11.484905413049841,-0.196699768245451,0.7772604917898369,-0.047061197988508496,222
ensemble | core6 | clim=40%,13.764412846636828,11.484905413049841,-0.19847855525191127,0.824411631482005,-0.3588232897571437,222
Ridge(alpha=10) | all | clim=30%,13.768420165565141,11.484905413049841,-0.1988274757509656,0.7593226309708799,-0.20248203157889932,222
Ridge+RF+GBR | core6 | clim=35%,13.77842301172776,11.484905413049841,-0.19969843165376755,0.8153990807157753,0.10261662447271291,222
Ridge+RF | core4 | clim=50%,13.802242851912572,11.484905413049841,-0.2017724443972897,0.8264100155980121,0.09016383109320358,222
Ridge+KNN | core6 | clim=50%,13.818615031494854,11.484905413049841,-0.20319798331062544,0.8155584748216081,-0.3706129030776175,222
Ridge(alpha=200) | core8 | clim=50%,13.831960538820846,11.484905413049841,-0.2043599874235047,0.8493419359082861,-0.012844507572904007,222
Ridge+RF | all | clim=25%,13.83460096178856,11.484905413049841,-0.20458989118611748,0.8025241661575343,0.12324010017234954,222
ensemble | core8 | clim=35%,13.855965748542168,11.484905413049841,-0.20645014044244414,0.8315016417612876,-0.578136788744164,222
Ridge+RF+GBR | core8 | clim=30%,13.866077499827185,11.484905413049841,-0.20733057880230454,0.8189745710563286,0.13757408857879128,222
Ridge(alpha=500) | all | clim=40%,13.867322004084333,11.484905413049841,-0.2074389387941713,0.8151229400023348,0.005465357394843551,222
Ridge+RF+GBR+XGB | core6 | clim=30%,13.896678604368477,11.484905413049841,-0.20999504171608008,0.7978419069725272,0.14870622746467532,222
Ridge(alpha=50) | all | clim=25%,13.944339656523809,11.484905413049841,-0.2141449280617853,0.7571151837352549,-0.0920565661505357,222
Ridge+GBR | core6 | clim=35%,13.945392684358858,11.484905413049841,-0.2142366160467688,0.8055902476559715,0.05135383305313823,222
ensemble | all | clim=20%,13.950332176199543,11.484905413049841,-0.21466670159497658,0.7989637784130127,-1.0344972585473258,222
Ridge+RF | core6 | clim=40%,13.982292125173089,11.484905413049841,-0.21744948019211074,0.829714763974972,0.10743485089744453,222
Ridge+KNN | all | clim=35%,13.986084885638155,11.484905413049841,-0.2177797189122972,0.8012405346453086,-2.4123184739593952,222
Ridge(alpha=50) | core6 | clim=50%,14.005664904807745,11.484905413049841,-0.21948456701207708,0.809437887467443,0.027032290781374257,222
ElasticNet | core6 | clim=50%,14.013477346235772,11.484905413049841,-0.22016480260366933,0.7934231558390447,0.04469103721315548,222
Ridge+GBR | core8 | clim=30%,14.023225912426577,11.484905413049841,-0.221013618143737,0.8094890612866387,0.10136053515655519,222
BayesRidge | all | clim=25%,14.029361977228136,11.484905413049841,-0.22154789026709176,0.7545102522526185,-0.08873100806262713,222
Ridge+RF+GBR+XGB | core8 | clim=25%,14.030506240425197,11.484905413049841,-0.22164752218881056,0.7951517327482435,0.1398228162582953,222
Ridge(alpha=10) | core6 | clim=50%,14.030744030774201,11.484905413049841,-0.2216682267867549,0.7897557680942493,0.040059276797958177,222
Ridge(alpha=100) | core6 | clim=50%,14.03290518725677,11.484905413049841,-0.22185640042901333,0.8195740293376886,0.02125638689685516,222
Ridge+BayesRidge | core6 | clim=50%,14.053627462610022,11.484905413049841,-0.2236607056982327,0.8189530522536045,0.02271779410649799,222
ElasticNet | all | clim=25%,14.067450179750457,11.484905413049841,-0.2248642608554854,0.7469712555037363,-0.1969192448067254,222
Ridge+RF | core8 | clim=35%,14.067960586864608,11.484905413049841,-0.22490870241558492,0.840980537945691,0.08492639623231923,222
BayesRidge | core6 | clim=50%,14.074589047198975,11.484905413049841,-0.22548584781608905,0.8183035077534088,0.024179201316137267,222
Ridge(alpha=200) | core6 | clim=50%,14.077686570738805,11.484905413049841,-0.22575555169508754,0.8300815306684707,0.01770320674037862,222
Ridge+BayesRidge | all | clim=25%,14.08667525165091,11.484905413049841,-0.22653820340956243,0.7558247302360119,-0.06957686009658559,222
Ridge(alpha=500) | core8 | clim=50%,14.094446672409658,11.484905413049841,-0.22721486729831475,0.8504492811565078,-0.003967116043789076,222
Ridge+KNN | core4 | clim=50%,14.145331030813251,11.484905413049841,-0.23164540952513857,0.810245543765266,0.06419530008870922,222
Ridge(alpha=200) | all | clim=30%,14.149223437695747,11.484905413049841,-0.23198432453945572,0.7752550854169057,-0.018726949925930825,222
Ridge(alpha=500) | core6 | clim=50%,14.171189870892245,11.484905413049841,-0.2338969596380034,0.841703544658763,0.015501163037875187,222
Ridge(alpha=100) | all | clim=25%,14.183856086133495,11.484905413049841,-0.23499981723984797,0.7559031948140403,-0.050422712130544056,222
ensemble | core6 | clim=35%,14.203654864901463,11.484905413049841,-0.23672371291472838,0.8105599919933981,-0.3887252305702411,222
Ridge+RF+GBR | core6 | clim=30%,14.212036739328951,11.484905413049841,-0.23745352949797738,0.7982688826480023,0.11051021097060953,222
Ridge+RF | all | clim=20%,14.232597167931983,11.484905413049841,-0.23924374263979997,0.7845425175633493,0.13145610685051068,222
Ridge+RF+GBR+XGB | core4 | clim=40%,14.288097779644303,11.484905413049841,-0.2440762257745115,0.7780481402809571,0.2567657257139473,222
Ridge(alpha=10) | all | clim=25%,14.28892885261956,11.484905413049841,-0.24414858797039973,0.7382515099245622,-0.21694503383453423,222
ensemble | core8 | clim=30%,14.304098084325403,11.484905413049841,-0.245469385239536,0.8160545206165504,-0.6226088494167925,222
Ridge+RF+GBR | core8 | clim=25%,14.30920112783035,11.484905413049841,-0.24591371136338447,0.7998461872393408,0.14740080919156284,222
Ridge(alpha=500) | all | clim=35%,14.309331394738741,11.484905413049841,-0.24592505380842034,0.800075618396878,0.005920803844407629,222
Ridge+RF+GBR+XGB | core6 | clim=25%,14.33094903092784,11.484905413049841,-0.24780731886952712,0.7775965716424073,0.15932810085500293,222
